=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.12.06 02:12:48 =~=~=~=~=~=~=~=~=~=~=~=
,-20.81
2237.55,-21.56
2237.55,-19.62
2237.55,-21.34
2237.55,-21.02
2237.55,-21.45
2237.55,-21.24
2237.56,-20.27
2237.56,-20.70
2237.56,-21.56
2237.57,-21.13
2237.57,-21.45
2237.57,-20.37
2237.57,-21.45
2237.57,-20.91
2237.57,-21.24
2237.58,-19.84
2237.58,-20.91
2237.58,-21.24
2237.58,-21.67
2237.58,-19.84
2237.58,-20.16
2237.58,-20.91
2237.58,-21.24
2237.58,-21.24
2237.58,-20.91
2237.59,-22.10
2237.59,-21.67
2237.59,-19.73
2237.59,-21.24
2237.59,-21.02
2237.59,-21.45
2237.59,-21.34
2237.59,-20.91
2237.59,-20.70
2237.60,-20.16
2237.60,-20.37
2237.60,-19.30
2237.60,-21.88
2237.60,-21.24
2237.60,-22.10
2237.61,-20.81
2237.61,-21.88
2237.61,-24.15
2237.62,-21.56
2237.62,-20.91
2237.62,-21.56
2237.62,-19.73
2237.62,-21.45
2237.62,-21.88
2237.62,-20.91
2237.62,-21.88
2237.62,-20.91
2237.62,-20.70
2237.63,-20.37
2237.63,-20.48
2237.63,-20.91
2237.63,-21.56
2237.63,-21.99
2237.63,-19.40
2237.63,-19.84
2237.63,-21.02
2237.63,-21.78
2237.64,-21.67
2237.64,-21.88
2237.64,-21.13
2237.64,-21.13
2237.64,-20.91
2237.64,-21.45
2237.64,-20.91
2237.64,-21.34
2237.64,-19.94
2237.65,-21.24
2237.66,-21.13
2237.66,-21.02
2237.66,-18.22
2237.66,-22.10
2237.66,-19.73
2237.66,-20.91
2237.66,-21.45
2237.66,-21.02
2237.66,-21.45
2237.67,-21.24
2237.67,-21.88
2237.67,-21.24
2237.67,-20.91
2237.67,-21.67
2237.67,-21.45
2237.67,-21.56
2237.67,-21.13
2237.67,-20.59
2237.68,-21.34
2237.68,-22.10
2237.68,-21.02
2237.68,-21.02
2237.68,-20.48
2237.68,-19.51
2237.68,-20.37
2237.68,-21.02
2237.68,-21.78
2237.69,-20.91
2237.69,-21.67
2237.69,-20.91
2237.69,-20.70
2237.70,-21.13
2237.70,-21.45
2237.70,-21.99
2237.70,-22.21
2237.70,-20.91
2237.70,-20.16
2237.71,-21.88
2237.71,-21.13
2237.71,-21.45
2237.71,-21.24
2237.71,-21.34
2237.71,-21.02
2237.71,-19.62
2237.71,-21.99
2237.71,-21.45
2237.72,-21.24
2237.72,-21.78
2237.72,-19.51
2237.72,-19.19
2237.72,-21.02
2237.72,-21.13
2237.72,-20.81
2237.72,-21.78
2237.72,-22.21
2237.73,-20.81
2237.73,-20.91
2237.73,-21.02
2237.73,-20.91
2237.73,-21.56
2237.73,-21.45
2237.73,-20.91
2237.73,-21.24
2237.74,-21.02
2237.74,-20.91
2237.75,-21.34
2237.75,-20.91
2237.75,-20.91
2237.75,-21.24
2237.75,-21.13
2237.75,-19.73
2237.75,-20.81
2237.75,-20.91
2237.75,-21.24
2237.76,-21.67
2237.76,-20.91
2237.76,-21.88
2237.76,-21.24
2237.76,-21.45
2237.76,-20.70
2237.76,-20.91
2237.76,-22.31
2237.76,-20.81
2237.77,-20.59
2237.77,-21.02
2237.77,-20.16
2237.77,-21.45
2237.77,-20.91
2237.77,-21.13
2237.77,-20.59
2237.77,-21.13
2237.77,-21.88
2237.77,-19.51
2237.78,-21.13
2237.78,-21.02
2237.78,-20.48
2237.78,-20.59
2237.79,-20.16
2237.79,-21.45
2237.79,-21.13
2237.79,-21.13
2237.79,-21.02
2237.80,-21.24
2237.80,-21.13
2237.80,-20.81
2237.80,-20.91
2237.80,-21.88
2237.80,-22.21
2237.80,-21.34
2237.80,-21.56
2237.80,-21.88
2237.81,-20.37
2237.81,-21.24
2237.81,-20.91
2237.81,-21.13
2237.81,-20.81
2237.81,-20.16
2237.81,-21.24
2237.81,-21.13
2237.81,-21.13
2237.81,-21.02
2237.82,-21.45
2237.82,-21.45
2237.82,-20.91
2237.82,-19.94
2237.82,-21.34
2237.82,-21.56
2237.82,-21.56
2237.82,-21.99
2237.83,-20.37
2237.84,-21.99
2237.84,-21.99
2237.84,-21.24
2237.84,-21.24
2237.84,-20.81
2237.84,-20.91
2237.84,-21.02
2237.84,-20.91
2237.84,-21.13
2237.85,-20.16
2237.85,-19.51
2237.85,-20.70
2237.85,-21.56
2237.85,-20.91
2237.85,-21.45
2237.85,-19.19
2237.85,-20.91
2237.85,-20.91
2237.85,-21.24
2237.86,-20.59
2237.86,-21.13
2237.86,-21.24
2237.86,-21.56
2237.86,-21.24
2237.86,-20.91
2237.86,-21.02
2237.86,-20.37
2237.86,-21.45
2237.88,-19.84
2237.88,-20.91
2237.88,-21.34
2237.88,-21.02
2237.88,-20.59
2237.88,-21.45
2237.88,-20.91
2237.88,-21.45
2237.88,-20.59
2237.89,-20.27
2237.89,-21.67
2237.89,-21.24
2237.89,-21.56
2237.89,-20.37
2237.89,-20.91
2237.89,-20.48
2237.89,-20.37
2237.89,-21.13
2237.89,-21.24
2237.90,-20.91
2237.90,-20.81
2237.90,-21.13
2237.90,-21.34
2237.90,-21.02
2237.90,-20.37
2237.90,-20.70
2237.90,-20.91
2237.90,-21.02
2237.91,-20.48
2237.91,-20.91
2237.91,-20.91
2237.92,-21.34
2237.92,-21.24
2237.92,-20.91
2237.92,-21.88
2237.92,-21.02
2237.92,-21.24
2237.93,-20.91
2237.93,-21.24
2237.93,-21.24
2237.93,-21.02
2237.93,-20.91
2237.93,-19.94
2237.93,-19.94
2237.93,-21.45
2237.93,-21.02
2237.93,-21.78
2237.94,-21.45
2237.94,-21.02
2237.94,-21.13
2237.94,-21.24
2237.94,-22.10
2237.94,-20.81
2237.94,-21.56
2237.94,-21.02
2237.94,-21.13
2237.95,-20.91
2237.95,-20.91
2237.95,-20.91
2237.95,-20.91
2237.95,-20.05
2237.95,-20.59
2237.96,-21.78
2237.96,-21.67
2237.96,-21.45
2237.97,-21.34
2237.97,-19.19
2237.97,-19.30
2237.97,-21.02
2237.97,-21.56
2237.97,-21.24
2237.97,-19.30
2237.97,-22.10
2237.97,-20.91
2237.97,-21.02
2237.98,-21.13
2237.98,-20.91
2237.98,-20.91
2237.98,-20.91
2237.98,-20.91
2237.98,-21.67
2237.98,-21.24
2237.98,-20.91
2237.98,-19.40
2237.99,-21.13
2237.99,-21.24
2237.99,-21.56
2237.99,-21.24
2237.99,-21.56
2237.99,-20.91
2237.99,-19.84
2237.99,-21.45
2237.99,-21.02
2238.00,-21.45
2238.01,-21.02
2238.01,-21.99
2238.01,-21.02
2238.01,-21.45
2238.01,-21.34
2238.01,-20.16
2238.01,-21.67
2238.01,-20.91
2238.01,-21.24
2238.02,-21.99
2238.02,-21.88
2238.02,-20.27
2238.02,-19.73
2238.02,-20.91
2238.02,-20.81
2238.02,-21.13
2238.02,-21.24
2238.02,-21.45
2238.03,-21.13
2238.03,-20.91
2238.03,-20.16
2238.03,-20.70
