=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.12.05 23:00:12 =~=~=~=~=~=~=~=~=~=~=~=
,-0.54
9461.50,-1.83
9461.50,-2.16
9461.50,-1.62
9461.50,-1.62
9461.50,-0.22
9461.50,-1.83
9461.50,-1.94
9461.50,-1.19
9461.50,-0.22
9461.51,-0.22
9461.51,-1.72
9461.52,1.40
9461.52,-1.40
9461.52,-1.62
9461.52,-1.29
9461.52,-1.72
9461.52,-1.19
9461.52,-1.83
9461.52,-2.69
9461.53,-1.72
9461.53,-0.75
9461.53,-1.29
9461.53,-1.72
9461.53,-1.19
9461.53,-0.97
9461.53,-1.72
9461.53,-1.08
9461.53,-0.43
9461.53,-1.62
9461.54,-2.05
9461.54,-1.83
9461.54,-2.05
9461.54,-1.62
9461.54,-1.62
9461.54,-1.40
9461.54,-1.51
9461.54,-2.26
9461.54,-2.16
9461.54,-1.72
9461.55,-1.40
9461.55,-1.40
9461.55,-1.08
9461.55,-2.05
9461.56,0.86
9461.56,-1.19
9461.56,-0.54
9461.56,-1.40
9461.56,-1.72
9461.56,-1.72
9461.57,-1.62
9461.57,-2.59
9461.57,-0.11
9461.57,-1.83
9461.57,-1.94
9461.57,-1.62
9461.57,0.54
9461.57,-0.97
9461.57,0.00
9461.57,-0.97
9461.57,-1.40
9461.58,-1.51
9461.58,-1.29
9461.58,-0.97
9461.58,-1.40
9461.58,-0.75
9461.58,-2.26
9461.58,-1.62
9461.58,-1.83
9461.58,-1.19
9461.58,0.65
9461.59,-0.22
9461.59,-1.40
9461.59,-1.51
9461.59,-1.83
9461.60,-0.86
9461.60,-1.40
9461.60,-1.72
9461.60,-1.51
9461.60,-1.19
9461.60,-1.51
9461.61,-0.54
9461.61,-0.86
9461.61,-0.75
9461.61,-1.83
9461.61,-2.05
9461.61,-1.72
9461.61,-1.51
9461.61,-1.40
9461.61,-1.19
9461.61,-1.19
9461.62,-1.19
9461.62,-1.40
9461.62,-1.83
9461.62,0.54
9461.62,-1.72
9461.62,-0.65
9461.62,-0.54
9461.62,-1.62
9461.62,-1.19
9461.62,-1.72
9461.63,-1.83
9461.63,-1.40
9461.63,-1.62
9461.63,-0.54
9461.63,-1.72
9461.63,-1.40
9461.64,-2.05
9461.64,-1.83
9461.64,0.22
9461.64,-1.94
9461.64,-1.40
9461.65,-1.29
9461.65,-1.40
9461.65,-1.72
9461.65,-1.94
9461.65,-1.94
9461.65,-0.22
9461.65,-1.62
9461.65,-1.19
9461.65,-1.29
9461.65,-0.22
9461.66,-1.51
9461.66,-1.62
9461.66,0.11
9461.66,-2.48
9461.66,-1.72
9461.66,-1.29
9461.66,-2.59
9461.66,-1.83
9461.66,-1.83
9461.66,-2.16
9461.67,-1.72
9461.67,-1.29
9461.67,-0.22
9461.67,-0.75
9461.67,-1.51
9461.67,-2.16
9461.67,-1.94
9461.68,-1.72
9461.68,-1.62
9461.68,-1.94
9461.69,-1.72
9461.69,-1.62
9461.69,-1.29
9461.69,-1.51
9461.69,-1.29
9461.69,-2.37
9461.69,-1.62
9461.69,-1.94
9461.69,0.54
9461.69,-0.65
9461.70,-1.94
9461.70,-1.40
9461.70,-0.11
9461.70,-1.62
9461.70,-1.40
9461.70,-1.83
9461.70,-1.29
9461.70,-1.72
9461.70,-3.56
9461.70,-0.54
9461.70,-1.83
9461.71,-1.94
9461.71,-1.51
9461.71,0.32
9461.71,-1.83
9461.71,1.08
9461.71,-0.86
9461.71,-1.94
9461.71,-0.97
9461.72,-1.94
9461.72,-0.11
9461.73,-1.40
9461.73,-1.40
9461.73,-1.51
9461.73,-0.97
9461.73,-1.94
9461.73,-1.40
9461.73,-1.51
9461.73,-0.65
9461.73,-1.40
9461.73,-0.86
9461.74,-1.62
9461.74,-0.22
9461.74,-1.19
9461.74,-1.72
9461.74,-1.40
9461.74,-1.83
9461.74,-2.05
9461.74,-1.40
9461.74,-2.26
9461.74,-1.62
9461.75,-1.40
9461.75,-1.29
9461.75,-1.83
9461.75,-1.29
9461.75,-0.86
9461.75,-1.94
9461.75,-0.32
9461.75,-0.97
9461.75,-2.05
9461.75,-1.40
9461.77,-1.51
9461.77,-1.83
9461.77,-1.72
9461.77,-0.22
9461.77,-1.62
9461.77,-1.72
9461.77,-1.72
9461.77,-1.62
9461.77,-1.51
9461.77,-1.72
9461.78,1.19
9461.78,-1.62
9461.78,0.32
9461.78,-1.40
9461.78,-1.83
9461.78,-1.62
9461.78,-1.62
9461.78,-1.62
9461.78,-1.94
9461.78,-0.22
9461.78,-0.43
9461.79,-0.65
9461.79,0.00
9461.79,-1.51
9461.79,-0.86
9461.79,-1.29
9461.79,-1.40
9461.79,-1.29
9461.79,-1.40
9461.79,-1.62
9461.79,-1.62
9461.81,-0.22
9461.81,-2.05
9461.81,-1.62
9461.81,-1.51
9461.81,-1.40
9461.81,-1.62
9461.81,-1.83
9461.81,-1.62
9461.81,-1.72
9461.81,-1.72
9461.82,-2.05
9461.82,-1.72
9461.82,-0.11
9461.82,-1.72
9461.82,-1.51
9461.82,-2.16
9461.82,-1.08
9461.82,-2.59
9461.82,-1.83
9461.82,-0.11
9461.83,-1.40
9461.83,-2.05
9461.83,-1.94
9461.83,-1.40
9461.83,-1.72
9461.83,-1.19
9461.83,-1.62
9461.83,-1.62
9461.83,-1.94
9461.83,-2.05
9461.84,-1.94
9461.85,-1.94
9461.85,-1.29
9461.85,-2.05
9461.85,-1.40
9461.85,-0.97
9461.85,-2.05
9461.85,-1.51
9461.85,0.75
9461.85,-1.94
