=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.12.05 23:14:27 =~=~=~=~=~=~=~=~=~=~=~=
,28.89
10317.30,30.08
10317.30,28.89
10317.30,28.46
10317.30,28.78
10317.31,28.78
10317.31,29.11
10317.31,28.78
10317.31,28.89
10317.31,30.62
10317.31,28.03
10317.31,29.00
10317.31,28.89
10317.31,29.00
10317.32,29.11
10317.32,29.00
10317.32,29.65
10317.32,28.78
10317.32,28.35
10317.32,28.89
10317.32,29.21
10317.32,28.78
10317.32,29.21
10317.32,28.89
10317.33,29.54
10317.33,28.89
10317.33,29.11
10317.33,29.11
10317.34,28.57
10317.34,28.67
10317.34,28.46
10317.34,29.00
10317.34,29.32
10317.35,29.75
10317.35,30.29
10317.35,29.43
10317.35,28.78
10317.35,29.11
10317.35,29.21
10317.35,29.00
10317.35,30.29
10317.35,29.11
10317.36,28.89
10317.36,29.11
10317.36,28.89
10317.36,29.11
10317.36,28.78
10317.36,29.00
10317.36,28.78
10317.36,29.21
10317.36,29.00
10317.37,29.00
10317.37,29.32
10317.37,29.00
10317.37,29.11
10317.37,29.00
10317.37,29.00
10317.37,30.62
10317.37,29.65
10317.37,29.00
10317.39,28.89
10317.39,29.32
10317.39,28.89
10317.39,29.21
10317.39,28.67
10317.39,28.89
10317.39,30.29
10317.39,29.00
10317.39,28.67
10317.39,29.00
10317.40,28.89
10317.40,28.78
10317.40,28.57
10317.40,29.11
10317.40,28.89
10317.40,30.83
10317.40,29.11
10317.40,29.00
10317.40,29.00
10317.41,29.32
10317.41,29.86
10317.41,29.86
10317.41,28.67
10317.41,29.32
10317.41,29.32
10317.41,29.11
10317.41,28.78
10317.41,28.78
10317.42,28.78
10317.42,28.78
10317.42,29.75
10317.42,29.32
10317.42,29.54
10317.42,28.78
10317.43,28.35
10317.43,28.78
10317.43,28.89
10317.44,29.00
10317.44,29.43
10317.44,29.00
10317.44,30.18
10317.44,29.86
10317.44,28.89
10317.44,28.35
10317.44,28.57
10317.44,29.00
10317.45,28.67
10317.45,28.78
10317.45,29.43
10317.45,30.94
10317.45,30.83
10317.45,28.57
10317.45,28.57
10317.45,29.00
10317.45,28.89
10317.45,30.83
10317.46,28.78
10317.46,29.75
10317.46,29.11
10317.46,30.83
10317.46,29.00
10317.46,28.89
10317.46,29.11
10317.46,28.35
10317.46,29.21
10317.47,28.57
10317.47,29.21
10317.48,30.62
10317.48,28.78
10317.48,28.57
10317.48,29.43
10317.48,29.21
10317.48,28.35
10317.48,29.86
10317.49,28.78
10317.49,29.00
10317.49,29.43
10317.49,28.78
10317.49,29.00
10317.49,29.00
10317.49,29.43
10317.49,29.11
10317.49,29.11
10317.50,30.62
10317.50,28.14
10317.50,28.89
10317.50,28.35
10317.50,29.00
10317.50,29.21
10317.50,28.89
10317.50,29.00
10317.50,28.89
10317.51,29.32
10317.51,28.35
10317.51,29.75
10317.51,28.89
10317.51,30.29
10317.51,28.78
10317.51,28.78
10317.51,28.89
10317.52,27.92
10317.52,28.57
10317.53,29.21
10317.53,29.32
10317.53,28.78
10317.53,30.94
10317.53,29.21
10317.53,28.89
10317.53,29.00
10317.53,29.21
10317.53,28.35
10317.54,29.86
10317.54,28.57
10317.54,28.57
10317.54,28.78
10317.54,29.00
10317.54,29.21
10317.54,29.43
10317.54,29.00
10317.54,28.78
10317.55,29.86
10317.55,28.57
10317.55,28.89
10317.55,28.89
10317.55,28.67
10317.55,29.21
10317.55,28.46
10317.55,28.78
10317.55,28.14
10317.56,28.78
10317.56,28.89
10317.56,28.46
10317.56,28.78
10317.57,29.11
10317.57,28.89
10317.57,28.89
10317.57,28.78
10317.57,28.46
10317.58,29.21
10317.58,29.00
10317.58,29.11
10317.58,29.11
10317.58,29.43
10317.58,29.11
10317.58,29.00
10317.58,29.00
10317.58,29.00
10317.58,29.32
10317.59,28.67
10317.59,29.11
10317.59,29.21
10317.59,29.00
10317.59,28.67
10317.59,29.11
10317.59,29.11
10317.59,28.46
10317.59,27.92
10317.60,29.00
10317.60,30.83
10317.60,28.57
10317.60,28.78
10317.60,29.11
10317.60,29.54
10317.60,28.78
10317.60,29.32
10317.60,29.11
10317.62,28.89
10317.62,29.21
10317.62,29.21
10317.62,30.40
10317.62,28.57
10317.62,29.11
10317.62,29.00
10317.62,29.11
10317.62,28.89
10317.63,29.00
10317.63,30.08
10317.63,29.11
10317.63,29.11
10317.63,29.11
10317.63,29.11
10317.63,29.65
10317.63,29.65
10317.63,29.00
10317.64,28.46
10317.64,30.72
10317.64,30.18
10317.64,29.00
10317.64,29.00
10317.64,28.89
10317.64,29.00
10317.64,30.29
10317.64,30.83
10317.64,30.51
10317.65,29.00
10317.65,29.21
10317.65,29.11
10317.65,29.75
10317.65,29.11
10317.65,29.11
10317.66,29.00
10317.66,29.00
10317.66,29.00
10317.67,30.18
10317.67,28.46
10317.67,29.00
10317.67,29.11
10317.67,28.67
10317.67,29.21
10317.67,30.94
10317.67,28.46
10317.67,28.78
10317.68,29.43
10317.68,29.11
10317.68,28.89
10317.68,28.89
10317.68,29.11
10317.68,29.32
10317.68,28.89
10317.68,28.57
10317.68,29.00
10317.69,28.89
10317.69,29.00
10317.69,29.11
10317.69,27.81
10317.69,30.72
10317.69,28.78
10317.69,29.21
10317.69,29.75
10317.69,28.89
10317.70,28.35
10317.70,29.54
10317.71,30.62
10317.71,28.03
10317.71,29.11
10317.71,28.89
10317.71,29.00
10317.71,29.11
10317.71,29.32
10317.71,29.86
10317.72,29.11
10317.72,30.83
10317.72,29.00
10317.72,28.89
10317.72,28.89
10317.72,29.11
10317.72,29.11
10317.72,28.78
10317.72,29.21
10317.73,28.57
10317.73,28.03
10317.73,29.11
10317.73,29.21
10317.73,29.43
10317.73,28.57
10317.73,29.32
10317.73,29.43
10317.73,29.11
10317.74,29.11
10317.74,29.32
10317.74,29.11
10317.74,28.67
10317.75,28.57
10317.75,29.00
10317.75,29.00
10317.75,28.46
10317.75,30.72
10317.76,28.89
10317.76,30.83
10317.76,29.65
10317.76,29.00
10317.76,28.89
10317.76,29.21
10317.76,29.11
10317.76,32.12
10317.76,28.57
10317.77,28.78
10317.77,28.89
10317.77,29.00
10317.77,28.89
10317.77,29.21
10317.77,29.32
10317.77,28.89
10317.77,28.78
10317.77,29.11
10317.77,28.89
10317.78,30.72
10317.78,28.78
10317.78,28.46
10317.78,29.00
10317.78,29.11
10317.78,28.57
10317.78,29.11
10317.78,29.11
10317.78,28.67
10317.79,28.57
10317.79,29.11
10317.79,28.57
10317.79,29.00
10317.80,28.89
10317.80,28.78
10317.80,30.83
10317.80,28.46
10317.80,29.11
10317.81,28.78
10317.81,28.35
10317.81,29.00
10317.81,29.11
10317.81,29.00
10317.81,30.40
10317.81,29.11
10317.81,29.00
10317.81,29.11
10317.82,29.11
10317.82,28.67
10317.82,28.57
10317.82,28.57
10317.82,28.78
10317.82,29.65
10317.82,29.65
10317.82,28.89
10317.82,28.67
10317.83,29.21
10317.83,30.72
10317.83,29.11
10317.83,29.00
10317.83,29.11
10317.83,29.32
10317.83,29.00
10317.83,29.32
10317.83,28.78
10317.83,28.57
10317.85,28.57
10317.85,29.11
10317.85,30.40
10317.85,29.11
10317.85,28.89
10317.85,29.00
10317.85,29.11
10317.85,29.00
10317.85,30.51
10317.86,29.32
10317.86,28.89
10317.86,30.18
10317.86,29.21
10317.86,28.78
10317.86,28.89
10317.86,30.72
10317.86,30.83
10317.86,28.03
10317.87,29.43
10317.87,29.32
10317.87,29.11
10317.87,28.89
10317.87,29.11
10317.87,29.11
10317.87,30.83
10317.87,28.67
10317.87,29.21
10317.88,28.89
10317.88,28.57
10317.88,29.32
10317.88,29.21
10317.88,30.29
10317.88,28.89
10317.89,28.57
10317.89,28.57
10317.89,28.57
10317.90,29.00
10317.90,28.78
10317.90,30.18
10317.90,29.00
10317.90,28.78
10317.90,29.21
10317.90,29.00
10317.90,29.32
10317.90,30.72
10317.90,28.89
10317.91,28.78
10317.91,29.11
10317.91,28.67
10317.91,29.11
10317.91,29.11
10317.91,29.43
10317.91,28.78
10317.91,29.11
10317.91,28.89
10317.92,28.24
10317.92,28.57
10317.92,30.18
10317.92,28.46
10317.92,28.57
10317.92,29.11
10317.92,29.21
10317.92,29.11
10317.92,28.46
10317.93,28.57
10317.93,29.21
10317.94,28.67
10317.94,29.00
10317.94,28.89
10317.94,29.00
10317.94,29.11
10317.94,28.78
10317.94,28.78
10317.95,28.78
10317.95,29.43
10317.95,29.00
10317.95,29.00
10317.95,28.57
10317.95,28.57
10317.95,29.32
10317.95,28.78
10317.95,28.46
10317.96,30.72
10317.96,29.11
10317.96,28.57
10317.96,28.78
10317.96,28.89
10317.96,29.11
10317.96,30.83
10317.96,28.78
10317.96,29.00
10317.96,28.89
10317.97,29.00
10317.97,29.32
10317.97,28.89
10317.97,29.00
10317.97,29.11
10317.97,28.67
10317.97,29.11
10317.97,28.78
10317.98,28.78
10317.99,29.00
10317.99,29.00
10317.99,29.65
10317.99,29.11
10317.99,29.00
10317.99,28.14
10317.99,28.89
10317.99,28.57
10317.99,28.35
10318.00,28.78
10318.00,29.32
10318.00,28.78
10318.00,28.46
10318.00,29.11
10318.00,29.11
10318.00,29.11
10318.00,28.89
10318.00,30.40
10318.01,29.00
10318.01,29.43
10318.01,28.57
10318.01,29.11
10318.01,29.11
10318.01,29.00
10318.01,29.11
10318.01,29.00
10318.01,28.67
10318.02,28.89
10318.02,29.32
10318.02,29.11
10318.02,29.00
10318.03,29.00
10318.03,29.86
10318.03,29.00
10318.03,29.43
10318.03,28.14
10318.03,29.11
10318.04,28.67
10318.04,29.00
10318.04,29.00
10318.04,30.83
10318.04,29.00
10318.04,29.11
10318.04,28.78
10318.04,28.89
10318.04,28.78
10318.05,28.78
10318.05,28.24
10318.05,29.00
10318.05,28.78
10318.05,29.00
10318.05,29.21
10318.05,28.24
10318.05,29.11
10318.05,28.67
10318.06,29.11
10318.06,29.00
10318.06,29.11
10318.06,29.21
10318.06,29.00
10318.06,29.00
10318.06,29.00
10318.06,28.67
10318.06,29.00
10318.08,29.11
10318.08,28.89
10318.08,28.57
10318.08,29.21
10318.08,29.00
10318.08,29.21
10318.08,30.72
10318.08,30.83
10318.08,30.72
10318.09,28.78
10318.09,28.78
10318.09,29.11
10318.09,28.78
10318.09,29.21
10318.09,28.57
10318.09,28.78
10318.09,28.57
10318.09,29.11
10318.09,29.00
10318.10,29.11
10318.10,29.00
10318.10,29.21
10318.10,29.32
10318.10,31.05
10318.10,30.83
10318.10,29.11
10318.10,29.21
10318.10,28.78
10318.11,29.43
10318.11,28.89
10318.11,29.11
10318.11,29.11
10318.11,29.11
10318.11,30.08
10318.12,29.21
10318.12,30.29
10318.12,28.35
10318.13,28.89
10318.13,29.00
10318.13,29.00
10318.13,29.00
10318.13,29.00
10318.13,29.32
10318.13,31.26
10318.13,28.57
10318.13,29.21
10318.14,30.83
10318.14,28.78
10318.14,29.00
10318.14,29.21
10318.14,28.89
10318.14,28.89
10318.14,29.00
10318.14,29.00
10318.14,28.78
10318.15,29.32
10318.15,31.05
10318.15,28.03
10318.15,30.18
10318.15,28.14
10318.15,28.89
10318.15,28.89
10318.15,29.11
10318.15,28.78
10318.15,30.72
10318.17,29.11
10318.17,29.11
10318.17,27.81
10318.17,28.57
10318.17,28.78
10318.17,28.89
10318.17,28.89
10318.17,29.00
10318.17,30.08
10318.18,29.00
10318.18,29.43
10318.18,28.57
10318.18,29.11
10318.18,29.11
10318.18,29.00
10318.18,28.78
10318.18,29.11
10318.18,29.75
10318.19,28.89
10318.19,29.21
10318.19,29.11
10318.19,29.11
10318.19,29.21
10318.19,29.11
10318.19,29.32
10318.19,29.11
10318.19,29.32
10318.20,29.11
10318.20,29.00
10318.20,29.11
10318.20,31.48
10318.20,30.83
10318.20,29.11
10318.20,29.21
10318.20,29.11
10318.21,28.78
10318.22,29.11
10318.22,28.57
10318.22,28.57
10318.22,29.00
10318.22,28.89
10318.22,28.78
10318.22,28.67
10318.22,28.78
10318.22,29.00
10318.22,29.00
10318.23,28.57
10318.23,29.32
10318.23,28.78
10318.23,28.46
10318.23,29.00
10318.23,29.00
10318.23,28.03
10318.23,28.78
10318.23,29.11
10318.24,29.75
10318.24,28.57
10318.24,28.78
10318.24,29.00
10318.24,28.67
10318.24,28.57
10318.24,28.89
10318.24,29.11
10318.24,28.78
10318.25,28.46
10318.25,28.89
10318.25,29.00
10318.25,29.00
10318.26,28.89
10318.26,29.00
10318.26,28.46
10318.26,28.78
10318.26,28.67
10318.27,29.11
10318.27,29.11
10318.27,29.32
10318.27,28.89
10318.27,29.32
10318.27,29.32
10318.27,29.86
10318.27,28.78
10318.27,30.08
10318.28,29.11
10318.28,29.11
10318.28,29.32
10318.28,29.86
10318.28,31.05
10318.28,28.89
10318.28,29.32
10318.28,29.11
10318.28,28.67
10318.28,28.78
10318.29,29.65
10318.29,28.57
10318.29,28.78
