=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.12.06 02:20:59 =~=~=~=~=~=~=~=~=~=~=~=,
2728.63,-21.45
2728.63,-20.16
2728.63,-21.02
2728.63,-21.02
2728.63,-19.73
2728.63,-21.13
2728.63,-19.62
2728.63,-20.91
2728.64,-20.16
2728.64,-20.91
2728.64,-21.45
2728.64,-21.56
2728.64,-21.02
2728.64,-20.91
2728.64,-18.76
2728.64,-21.56
2728.64,-21.02
2728.65,-21.24
2728.66,-19.94
2728.66,-20.91
2728.66,-21.02
2728.66,-21.45
2728.66,-20.37
2728.66,-22.1
2728.66,-21.67
2728.66,-21.13
2728.66,-19.94
2728.67,-21.24
2728.67,-21.34
2728.67,-21.24
2728.67,-20.7
2728.67,-21.24
2728.67,-21.02
2728.67,-21.13
2728.67,-21.24
2728.67,-21.99
2728.68,-21.02
2728.68,-21.45
2728.68,-21.78
2728.68,-19.08
2728.68,-21.13
2728.68,-21.67
2728.68,-20.91
2728.68,-20.59
2728.68,-21.24
2728.69,-21.67
2728.69,-22.1
2728.69,-20.48
2728.69,-21.56
2728.7,-21.24
2728.7,-21.67
2728.7,-20.7
2728.7,-21.34
2728.7,-21.13
2728.7,-21.45
2728.71,-20.91
2728.71,-20.16
2728.71,-19.4
2728.71,-21.13
2728.71,-21.24
2728.71,-21.24
2728.71,-21.02
2728.71,-21.13
2728.71,-20.91
2728.72,-21.45
2728.72,-20.7
2728.72,-21.13
2728.72,-21.02
2728.72,-21.34
2728.72,-20.91
2728.72,-20.91
2728.72,-21.67
2728.72,-21.88
2728.73,-20.7
2728.73,-21.02
2728.73,-21.13
2728.73,-21.56
2728.73,-21.02
2728.73,-21.24
2728.73,-21.45
2728.73,-19.73
2728.74,-21.45
2728.74,-20.91
2728.75,-23.72
2728.75,-21.45
2728.75,-21.02
2728.75,-21.67
2728.75,-21.13
2728.75,-21.02
2728.75,-21.02
2728.75,-20.91
2728.75,-21.78
2728.76,-21.45
2728.76,-20.27
2728.76,-21.24
2728.76,-20.91
2728.76,-20.91
2728.76,-21.02
2728.76,-20.91
2728.76,-21.45
2728.76,-21.34
2728.77,-21.34
2728.77,-20.91
2728.77,-21.24
2728.77,-19.94
2728.77,-21.88
2728.77,-21.56
2728.77,-21.45
2728.77,-22.1
2728.77,-21.13
2728.77,-19.3
2728.78,-21.56
2728.78,-20.59
2728.78,-20.91
2728.78,-21.56
2728.78,-21.45
2728.79,-21.24
2728.79,-20.37
2728.79,-19.94
2728.79,-22.1
2728.8,-21.24
2728.8,-21.13
2728.8,-21.13
2728.8,-20.37
2728.8,-20.27
2728.8,-21.67
2728.8,-21.67
2728.8,-21.56
2728.8,-21.02
2728.81,-21.24
2728.81,-21.24
2728.81,-21.88
2728.81,-20.27
2728.81,-21.24
2728.81,-21.02
2728.81,-21.45
2728.81,-21.45
2728.81,-22.1
2728.81,-19.3
2728.82,-21.34
2728.82,-21.13
2728.82,-21.24
2728.82,-19.94
2728.82,-18.76
2728.82,-20.91
2728.82,-21.45
2728.82,-21.24
2728.83,-19.3
2728.84,-20.91
2728.84,-21.24
2728.84,-21.02
2728.84,-19.73
2728.84,-20.91
2728.84,-21.02
2728.84,-21.02
2728.84,-21.45
2728.84,-21.02
2728.85,-21.67
2728.85,-20.59
2728.85,-20.37
2728.85,-21.02
2728.85,-21.13
2728.85,-21.67
2728.85,-20.05
2728.85,-20.81
2728.85,-19.4
2728.85,-20.91
2728.86,-20.91
2728.86,-21.02
2728.86,-21.24
2728.86,-21.45
2728.86,-21.56
2728.86,-21.02
2728.86,-20.91
2728.86,-21.24
2728.86,-21.34
2728.88,-21.45
2728.88,-20.91
2728.88,-21.24
2728.88,-20.91
2728.88,-21.13
2728.88,-21.24
2728.88,-21.99
2728.88,-21.24
2728.88,-20.91
2728.89,-20.91
2728.89,-21.24
2728.89,-20.48
2728.89,-21.24
2728.89,-19.94
2728.89,-21.24
2728.89,-20.59
2728.89,-21.13
2728.89,-21.24
2728.89,-21.24
2728.9,-21.88
2728.9,-21.45
2728.9,-20.48
2728.9,-21.56
2728.9,-20.05
2728.9,-21.02
2728.9,-21.24
2728.9,-21.67
2728.9,-21.56
2728.91,-21.24
2728.91,-21.02
2728.91,-19.08
2728.92,-21.24
2728.92,-21.24
2728.92,-21.24
2728.92,-21.45
2728.92,-21.24
2728.92,-19.19
2728.93,-21.45
2728.93,-21.67
2728.93,-20.7
2728.93,-20.7
2728.93,-21.34
2728.93,-20.81
2728.93,-21.88
2728.93,-22.64
2728.93,-21.45
2728.93,-21.67
2728.94,-21.34
2728.94,-20.91
2728.94,-21.56
2728.94,-21.56
2728.94,-21.67
2728.94,-20.81
2728.94,-19.84
2728.94,-20.91
2728.94,-21.67
2728.95,-21.02
2728.95,-21.88
2728.95,-20.91
2728.95,-21.34
2728.95,-21.88
2728.95,-20.91
2728.95,-21.24
2728.96,-21.13
2728.96,-21.88
2728.97,-21.24
2728.97,-20.91
2728.97,-21.45
2728.97,-21.88
2728.97,-20.91
2728.97,-21.45
2728.97,-21.34
2728.97,-20.91
2728.97,-21.34
2728.97,-19.3
2728.98,-19.08
2728.98,-20.91
2728.98,-20.59
2728.98,-21.45
