=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.12.06 01:54:52 =~=~=~=~=~=~=~=~=~=~=~=
,-20.91
1162.47,-20.91
1162.47,-21.34
1162.47,-20.91
1162.48,-21.02
1162.48,-21.13
1162.49,-20.91
1162.49,-21.99
1162.49,-21.02
1162.49,-18.97
1162.49,-20.81
1162.49,-21.02
1162.49,-21.24
1162.50,-20.91
1162.50,-21.13
1162.50,-19.94
1162.50,-21.24
1162.50,-21.24
1162.50,-20.91
1162.50,-21.02
1162.50,-21.24
1162.50,-21.45
1162.51,-21.45
1162.51,-21.67
1162.51,-21.34
1162.51,-20.05
1162.51,-19.19
1162.51,-20.91
1162.51,-21.02
1162.51,-21.34
1162.51,-20.91
1162.51,-20.91
1162.52,-20.91
1162.52,-20.91
1162.52,-21.24
1162.52,-21.67
1162.52,-19.30
1162.52,-21.13
1162.53,-21.02
1162.53,-21.02
1162.53,-21.34
1162.54,-21.99
1162.54,-21.56
1162.54,-20.91
1162.54,-21.45
1162.54,-21.13
1162.54,-19.30
1162.54,-21.88
1162.54,-20.91
1162.54,-21.45
1162.55,-21.13
1162.55,-21.45
1162.55,-20.81
1162.55,-21.02
1162.55,-21.24
1162.55,-21.13
1162.55,-22.10
1162.55,-21.24
1162.55,-19.73
1162.55,-20.91
1162.56,-21.34
1162.56,-21.24
1162.56,-20.91
1162.56,-20.27
1162.56,-21.45
1162.56,-20.91
1162.56,-20.81
1162.56,-19.40
1162.56,-20.27
1162.58,-20.91
1162.58,-21.34
1162.58,-21.24
1162.58,-21.02
1162.58,-18.76
1162.58,-21.02
1162.58,-20.91
1162.58,-20.91
1162.58,-21.13
1162.59,-19.73
1162.59,-20.91
1162.59,-20.70
1162.59,-21.02
1162.59,-21.24
1162.59,-21.13
1162.59,-21.34
1162.59,-19.94
1162.59,-21.24
1162.59,-20.37
1162.60,-20.91
1162.60,-20.59
1162.60,-21.24
1162.60,-20.91
1162.60,-20.91
1162.60,-21.45
1162.60,-21.34
1162.60,-20.91
1162.60,-20.91
1162.61,-21.67
1162.61,-21.34
1162.61,-21.24
1162.61,-21.02
1162.62,-19.84
1162.62,-20.91
1162.62,-20.16
1162.62,-21.45
1162.62,-20.91
1162.63,-21.56
1162.63,-20.37
1162.63,-20.81
1162.63,-20.91
1162.63,-21.02
1162.63,-21.45
1162.63,-21.88
1162.63,-21.24
1162.63,-20.48
1162.63,-20.91
1162.64,-20.91
1162.64,-20.91
1162.64,-19.19
1162.64,-19.73
1162.64,-20.91
1162.64,-21.02
1162.64,-20.91
1162.64,-21.67
1162.64,-20.91
1162.65,-21.34
1162.65,-20.91
1162.65,-20.91
1162.65,-21.13
1162.65,-21.13
1162.65,-21.56
1162.65,-21.13
1162.66,-19.30
1162.66,-20.91
1162.67,-21.56
1162.67,-21.13
1162.67,-21.88
1162.67,-21.24
1162.67,-20.91
1162.67,-20.91
1162.67,-21.13
1162.67,-21.13
1162.67,-21.13
1162.67,-21.02
1162.68,-21.34
1162.68,-19.19
1162.68,-19.62
1162.68,-20.91
1162.68,-20.91
1162.68,-19.84
1162.68,-20.91
1162.68,-21.02
1162.68,-20.59
1162.69,-20.91
1162.69,-21.45
1162.69,-21.45
1162.69,-20.91
1162.69,-21.56
1162.69,-21.13
1162.69,-20.91
1162.69,-20.91
1162.69,-20.91
1162.70,-20.27
1162.71,-20.91
1162.71,-21.02
1162.71,-21.34
1162.71,-21.34
1162.71,-21.24
1162.71,-20.81
1162.71,-20.16
1162.71,-21.02
1162.71,-20.91
1162.72,-21.56
1162.72,-19.40
1162.72,-20.91
1162.72,-21.02
1162.72,-21.02
1162.72,-21.67
1162.72,-21.02
1162.72,-19.94
1162.72,-20.70
1162.73,-19.84
1162.73,-20.91
1162.73,-21.02
1162.73,-21.34
1162.73,-21.88
1162.73,-20.59
1162.73,-20.81
1162.73,-20.16
1162.73,-21.24
1162.74,-20.48
1162.74,-20.16
1162.74,-21.13
1162.74,-21.13
1162.74,-20.91
1162.75,-20.91
1162.75,-21.56
1162.75,-20.37
1162.75,-20.91
1162.75,-20.91
1162.76,-23.39
1162.76,-19.19
1162.76,-19.19
1162.76,-20.70
1162.76,-21.45
1162.76,-21.13
1162.76,-21.34
1162.76,-21.56
1162.76,-20.91
1162.77,-21.24
1162.77,-21.56
1162.77,-20.91
1162.77,-21.02
1162.77,-20.91
1162.77,-20.91
1162.77,-19.30
1162.77,-20.81
1162.77,-20.91
1162.78,-20.91
1162.78,-21.24
1162.78,-20.91
1162.78,-21.02
1162.78,-21.24
1162.78,-19.51
1162.78,-20.91
1162.78,-21.13
1162.78,-20.91
1162.79,-20.91
1162.80,-20.91
1162.80,-20.48
1162.80,-19.73
1162.80,-19.73
1162.80,-21.02
1162.80,-22.21
1162.80,-20.91
1162.80,-21.02
1162.80,-19.19
1162.81,-20.48
1162.81,-20.91
1162.81,-20.91
1162.81,-19.73
1162.81,-20.91
1162.81,-20.91
1162.81,-21.56
1162.81,-20.91
1162.81,-20.16
1162.82,-21.02
1162.82,-21.34
1162.82,-21.13
1162.82,-20.91
1162.82,-21.02
1162.82,-21.13
1162.82,-21.02
1162.82,-21.24
1162.82,-19.08
1162.82,-21.45
1162.83,-22.31
1162.83,-19.62
1162.84,-20.91
1162.84,-20.91
1162.84,-21.24
1162.84,-20.91
1162.84,-21.34
1162.84,-20.70
1162.84,-20.91
1162.85,-20.91
1162.85,-21.24
1162.85,-20.91
1162.85,-20.81
1162.85,-20.91
1162.85,-20.91
1162.85,-19.73
1162.85,-21.02
1162.85,-21.45
1162.86,-20.91
1162.86,-21.24
1162.86,-21.13
1162.86,-21.02
1162.86,-20.81
1162.86,-18.86
1162.86,-21.02
1162.86,-20.91
1162.86,-20.91
1162.86,-21.34
1162.87,-21.45
1162.87,-21.02
1162.87,-19.19
1162.87,-20.59
1162.87,-21.02
1162.87,-21.67
1162.88,-21.45
1162.88,-20.16
1162.88,-20.91
1162.89,-21.24
1162.89,-20.37
1162.89,-20.91
1162.89,-20.91
1162.89,-21.34
1162.89,-20.91
1162.89,-21.02
1162.89,-20.91
1162.89,-19.84
1162.90,-20.91
1162.90,-21.45
1162.90,-19.40
1162.90,-21.13
1162.90,-21.13
1162.90,-21.24
1162.90,-22.53
1162.90,-20.91
1162.90,-21.56
1162.90,-20.91
1162.91,-21.24
1162.91,-21.45
1162.91,-19.30
1162.91,-21.13
1162.91,-21.34
1162.91,-20.91
1162.91,-20.91
1162.91,-20.91
1162.91,-21.02
1162.93,-20.91
1162.93,-19.19
1162.93,-20.91
1162.93,-20.91
1162.93,-19.08
1162.93,-21.45
1162.93,-21.24
1162.93,-21.02
1162.93,-20.91
1162.94,-20.91
1162.94,-20.91
1162.94,-20.91
1162.94,-20.91
1162.94,-21.24
1162.94,-20.91
1162.94,-21.24
1162.94,-20.91
1162.94,-21.67
1162.94,-21.45
1162.95,-21.02
1162.95,-20.91
1162.95,-21.56
1162.95,-20.27
1162.95,-21.02
1162.95,-20.91
1162.95,-21.24
1162.95,-20.91
1162.95,-20.91
1162.96,-20.91
1162.96,-21.24
1162.96,-19.08
1162.96,-20.70
1162.97,-21.13
1162.97,-21.13
1162.97,-21.99
1162.97,-21.02
1162.97,-20.91
1162.98,-20.91
1162.98,-20.91
1162.98,-19.84
1162.98,-19.94
1162.98,-20.91
1162.98,-21.56
1162.98,-21.02
1162.98,-20.91
1162.98,-20.59
1162.98,-20.59
1162.99,-21.13
1162.99,-21.02
1162.99,-20.91
1162.99,-21.34
1162.99,-21.45
1162.99,-21.24
1162.99,-20.81
1162.99,-21.24
1162.99,-21.24
1163.00,-21.67
1163.00,-20.91
1163.00,-21.67
1163.00,-21.02
1163.00,-19.73
1163.00,-18.65
1163.00,-20.48
1163.01,-19.84
1163.01,-20.91
1163.02,-19.19
1163.02,-21.24
1163.02,-21.24
1163.02,-20.91
1163.02,-20.91
1163.02,-20.48
1163.02,-20.70
1163.02,-20.91
1163.02,-21.24
1163.02,-20.70
1163.03,-21.02
1163.03,-21.24
1163.03,-21.02
1163.03,-20.48
1163.03,-20.91
1163.03,-20.91
1163.03,-21.02
1163.03,-21.02
1163.03,-20.91
1163.04,-21.02
1163.04,-20.91
1163.04,-20.91
1163.04,-20.91
1163.04,-20.59
1163.04,-21.13
1163.04,-21.45
1163.04,-21.24
1163.04,-20.16
1163.05,-21.02
1163.06,-20.91
1163.06,-21.02
1163.06,-20.91
